agency_id,route_id,shape_id,stop_sequence,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,arrival_offset,departure_offset,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
cr_transit,R01,S01,1,,Ground Transportation Center,concrete pad,41.97541986,-91.66662092,,,,,,,0:00:00,0:00:00,,,,
cr_transit,R01,S01,2,,2nd Ave Bridge @ City Hall,concrete pad,41.97711492,-91.66933234,,,,,,,,,,,,
cr_transit,R01,S01,3,,2nd Ave Bridge @ Vets. Memorial,concrete pad,41.97645829,-91.67062766,,,,,,,,,,,,
cr_transit,R01,S01,4,,2nd Ave & 2nd St,corner sidewalk,41.9752518,-91.67369988,,,,,,,,,,,,
cr_transit,R01,S01,5,,2nd Ave & L St,concrete pad,41.9743023,-91.67636004,,,,,,,,,,,,
cr_transit,R01,S01,6,,2nd Ave & 7th St,corner sidewalk,41.97299111,-91.68008954,,,,,,,,,,,,
cr_transit,R01,S01,7,,2nd Ave & 9th St RR tracks,gravel to sidewalk,41.97205248,-91.68273151,,,,,,,,,,,,
cr_transit,R01,S01,8,,10th St & 1st Ave,concrete pad,41.9724975,-91.6843637,,,,,,,,,,,,
cr_transit,R01,S01,9,,10th St & B Ave,concrete pad,41.97496887,-91.68551864,,,,,,,,,,,,
cr_transit,R01,S01,10,,10th St & C Ave (Salvation Army),corner sidewalk,41.97603994,-91.68552455,,,,,,,,,,,,
cr_transit,R01,S01,11,,10th St & E Ave,corner sidewalk,41.97793744,-91.68552369,,,,,,,0:07:00,0:07:00,,,,
cr_transit,R01,S01,12,,E Ave & 13th St,corner sidewalk,41.97817271,-91.68926397,,,,,,,,,,,,
cr_transit,R01,S01,13,,15th St & F Ave,grass to sidewalk,41.97886025,-91.691252,,,,,,,,,,,,
cr_transit,R01,S01,14,,F Ave & 10th St,corner sidewalk,41.97898497,-91.6862863,,,,,,,,,,,,
cr_transit,R01,S01,15,,F Ave & 8th St,corner sidewalk,41.97895184,-91.68349498,,,,,,,,,,,,
cr_transit,R01,S01,16,,Ellis Blvd & G Ave,corner sidewalk,41.98015443,-91.68184307,,,,,,,,,,,,
cr_transit,R01,S01,17,,Ellis Blvd & I Ave,corner sidewalk,41.98156521,-91.68194565,,,,,,,,,,,,
cr_transit,R01,S01,18,,Ellis Blvd & K Ave,concrete pad,41.98404389,-91.68194784,,,,,,,,,,,,
cr_transit,R01,S01,19,,Ellis Blvd & L Ave,corner sidewalk,41.98527949,-91.68201349,,,,,,,,,,,,
cr_transit,R01,S01,20,,Ellis Blvd & M Ave,corner sidewalk,41.98666354,-91.68202413,,,,,,,,,,,,
cr_transit,R01,S01,21,,Ellis Blvd & O Ave,corner sidewalk,41.98889138,-91.68207412,,,,,,,0:13:00,0:13:00,,,,
cr_transit,R01,S01,22,,O Ave & 9th St,grass to sidewalk,41.9890977,-91.68463305,,,,,,,,,,,,
cr_transit,R01,S01,23,,O Ave & 11th St,corner sidewalk,41.98913846,-91.68717881,,,,,,,,,,,,
cr_transit,R01,S01,24,,O Ave & 13th St (far-side),"grass, no sidewalk",41.98909159,-91.68961211,,,,,,,,,,,,
cr_transit,R01,S01,25,,O Ave & 16th St,"grass, no sidewalk",41.98911831,-91.69389881,,,,,,,,,,,,
