shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
S01,41.972855,-91.662626,0,
S01,41.972202,-91.663758,1,
S01,41.971884,-91.664383,2,
S01,41.971120,-91.665884,3,
S01,41.970855,-91.666549,4,
S01,41.970722,-91.666884,5,
S01,41.970651,-91.667193,6,
S01,41.970606,-91.667485,7,
S01,41.970586,-91.667846,8,
S01,41.970589,-91.668042,9,
S01,41.970613,-91.668326,10,
S01,41.970647,-91.668940,11,
S01,41.970666,-91.669321,12,
S01,41.970773,-91.669396,13,
S01,41.970937,-91.669500,14,
S01,41.971828,-91.670095,15,
S01,41.972283,-91.670375,16,
S01,41.972780,-91.670688,17,
S01,41.973713,-91.671294,18,
S01,41.974652,-91.671881,19,
S01,41.975376,-91.672299,20,
S01,41.975611,-91.672452,21,
S01,41.976645,-91.673088,22,
S01,41.976164,-91.674403,23,
S01,41.975970,-91.674892,24,
S01,41.975707,-91.675661,25,
S01,41.975506,-91.676141,26,
S01,41.975431,-91.676450,27,
S01,41.975309,-91.676826,28,
S01,41.975244,-91.676986,29,
S01,41.975103,-91.677342,30,
S01,41.974806,-91.678187,31,
S01,41.974363,-91.679459,32,
S01,41.973888,-91.680709,33,
S01,41.972937,-91.683422,34,
S01,41.972538,-91.684494,35,
S01,41.972855,-91.662626,36,
S01,41.973649,-91.663496,37,
S01,41.973005,-91.664612,38,
S01,41.973838,-91.665516,39,
S01,41.974656,-91.666333,40,
S01,41.975510,-91.667194,41,
S01,41.976347,-91.668077,42,
S01,41.977183,-91.668954,43,
S01,41.976897,-91.669506,44,
S01,41.976579,-91.670117,45,
S01,41.976452,-91.670380,46,
S01,41.976331,-91.670634,47,
S01,41.976167,-91.671046,48,
S01,41.976144,-91.671106,49,
S01,41.975791,-91.671998,50,
S01,41.975611,-91.672452,51,
S01,41.975376,-91.673093,52,
S01,41.975129,-91.673785,53,
S01,41.974671,-91.675038,54,
S01,41.974399,-91.675785,55,
S01,41.974295,-91.676042,56,
S01,41.974180,-91.676429,57,
S01,41.973776,-91.677559,58,
S01,41.973348,-91.678817,59,
S01,41.972871,-91.680108,60,
S01,41.972485,-91.681226,61,
S01,41.971534,-91.683910,62,
S01,41.972538,-91.684494,63,
S01,41.972641,-91.684551,64,
S01,41.973522,-91.685153,65,
S01,41.974290,-91.685630,66,
S01,41.974315,-91.685645,67,
S01,41.974331,-91.685652,68,
S01,41.974373,-91.685662,69,
S01,41.974908,-91.685664,70,
S01,41.975951,-91.685668,71,
S01,41.977007,-91.685667,72,
S01,41.978031,-91.685665,73,
S01,41.978040,-91.686194,74,
S01,41.978039,-91.686983,75,
S01,41.978098,-91.689343,76,
S01,41.978090,-91.691415,77,
S01,41.979050,-91.691373,78,
S01,41.979061,-91.690910,79,
S01,41.979062,-91.690881,80,
S01,41.979140,-91.689364,81,
S01,41.979110,-91.686172,82,
S01,41.979073,-91.684995,83,
S01,41.979089,-91.684813,84,
S01,41.979075,-91.683390,85,
S01,41.979022,-91.681950,86,
S01,41.980071,-91.682014,87,
S01,41.981101,-91.682036,88,
S01,41.981687,-91.682039,89,
S01,41.982840,-91.682055,90,
S01,41.984104,-91.682070,91,
S01,41.985362,-91.682105,92,
S01,41.986765,-91.682125,93,
S01,41.987893,-91.682147,94,
S01,41.989037,-91.682121,95,
S01,41.989039,-91.683337,96,
S01,41.989042,-91.684551,97,
S01,41.989028,-91.685788,98,
S01,41.989015,-91.687043,99,
S01,41.989031,-91.689493,100,
S01,41.989062,-91.691973,101,
S01,41.989052,-91.693739,102,
S01,41.989110,-91.697200,103,
S01,41.989126,-91.699247,104,
S01,41.989133,-91.700288,105,
S01,41.989125,-91.700330,106,
S01,41.989130,-91.701832,107,
S01,41.989147,-91.702799,108,
S01,41.989173,-91.703894,109,
S01,41.989195,-91.705996,110,
S01,41.989212,-91.707080,111,
S01,41.989229,-91.709936,112,
S01,41.989227,-91.710157,113,
S01,41.989223,-91.710513,114,
S01,41.989233,-91.711338,115,
S01,41.989235,-91.712576,116,
S01,41.989301,-91.715898,117,
S01,41.988542,-91.715920,118,
S01,41.987882,-91.715943,119,
S01,41.986180,-91.715911,120,
S01,41.984511,-91.715910,121,
S01,41.983831,-91.715941,122,
S01,41.983191,-91.715902,123,
S01,41.982385,-91.715899,124,
S01,41.981482,-91.715911,125,
S01,41.981146,-91.715916,126,
S01,41.980685,-91.715907,127,
S01,41.980138,-91.715922,128,
S01,41.979101,-91.715938,129,
S01,41.978938,-91.715943,130,
S01,41.978333,-91.715934,131,
S01,41.965616,-91.715992,132,
S01,41.966595,-91.716018,133,
S01,41.967614,-91.716002,134,
S01,41.967870,-91.715997,135,
S01,41.968158,-91.715990,136,
S01,41.968451,-91.715984,137,
S01,41.968765,-91.715977,138,
S01,41.969137,-91.715969,139,
S01,41.969503,-91.715963,140,
S01,41.969895,-91.715957,141,
S01,41.969976,-91.715959,142,
S01,41.970366,-91.715967,143,
S01,41.970704,-91.715974,144,
S01,41.971448,-91.715986,145,
S01,41.972017,-91.715940,146,
S01,41.972607,-91.715950,147,
S01,41.972834,-91.715954,148,
S01,41.973128,-91.715959,149,
S01,41.973410,-91.715964,150,
S01,41.973708,-91.715970,151,
S01,41.973974,-91.715974,152,
S01,41.974240,-91.715979,153,
S01,41.974540,-91.715985,154,
S01,41.974977,-91.715981,155,
S01,41.975375,-91.715978,156,
S01,41.975903,-91.715970,157,
S01,41.975903,-91.715970,158,
S01,41.976832,-91.715956,159,
S01,41.977775,-91.715942,160,
S01,41.978333,-91.715934,161,
S01,41.963554,-91.716036,162,
S01,41.963629,-91.716791,163,
S01,41.963637,-91.717350,164,
S01,41.963649,-91.718290,165,
S01,41.963657,-91.718913,166,
S01,41.963657,-91.718913,167,
S01,41.963657,-91.718914,168,
S01,41.963669,-91.719922,169,
S01,41.963694,-91.722096,170,
S01,41.963712,-91.723693,171,
S01,41.963721,-91.724529,172,
S01,41.963722,-91.724649,173,
S01,41.963736,-91.725901,174,
S01,41.964315,-91.725871,175,
S01,41.965007,-91.725815,176,
S01,41.965682,-91.725759,177,
S01,41.965682,-91.725642,178,
S01,41.965641,-91.722114,179,
S01,41.965608,-91.718477,180,
S01,41.965616,-91.715992,181,
S01,41.964284,-91.716050,182,
S01,41.964141,-91.716065,183,
S01,41.963554,-91.716036,184,
S02,41.978082,-91.653202,185,
S02,41.978248,-91.653861,186,
S02,41.978314,-91.654049,187,
S02,41.978402,-91.654230,188,
S02,41.975957,-91.664106,189,
S02,41.976820,-91.664943,190,
S02,41.978050,-91.662723,191,
S02,41.978694,-91.661613,192,
S02,41.981265,-91.657202,193,
S02,41.980007,-91.659351,194,
S02,41.979352,-91.660497,195,
S02,41.978694,-91.661613,196,
S02,41.980468,-91.656291,197,
S02,41.979171,-91.658530,198,
S02,41.978515,-91.659624,199,
S02,41.977869,-91.660787,200,
S02,41.977224,-91.661881,201,
S02,41.975957,-91.664106,202,
S02,41.975331,-91.665191,203,
S02,41.974782,-91.666113,204,
S02,41.974656,-91.666333,205,
S02,41.975510,-91.667194,206,
S02,41.976181,-91.666039,207,
S02,41.976820,-91.664943,208,
S02,41.976056,-91.657086,209,
S02,41.976682,-91.655960,210,
S02,41.977291,-91.654903,211,
S02,41.977923,-91.653823,212,
S02,41.978015,-91.653609,213,
S02,41.978052,-91.653477,214,
S02,41.978082,-91.653202,215,
S02,41.977799,-91.652031,216,
S02,41.977771,-91.651929,217,
S02,41.977482,-91.650373,218,
S02,41.977462,-91.649679,219,
S02,41.977460,-91.649522,220,
S02,41.977459,-91.648995,221,
