trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
R01-WD-01,05:20:00,05:20:00,000,0,,,,
R01-WD-01,,,001,1,,,,
R01-WD-01,,,002,2,,,,
R01-WD-01,,,003,3,,,,
R01-WD-01,,,004,4,,,,
R01-WD-01,,,005,5,,,,
R01-WD-01,,,006,6,,,,
R01-WD-01,,,007,7,,,,
R01-WD-01,,,008,8,,,,
R01-WD-01,,,009,9,,,,
R01-WD-01,05:27:00,05:27:00,010,10,,,,
R01-WD-01,,,011,11,,,,
R01-WD-01,,,012,12,,,,
R01-WD-01,,,013,13,,,,
R01-WD-01,,,014,14,,,,
R01-WD-01,,,015,15,,,,
R01-WD-01,,,016,16,,,,
R01-WD-01,,,017,17,,,,
R01-WD-01,,,018,18,,,,
R01-WD-01,,,019,19,,,,
R01-WD-01,05:33:00,05:33:00,020,20,,,,
R01-WD-01,,,021,21,,,,
R01-WD-01,,,022,22,,,,
R01-WD-01,,,023,23,,,,
R01-WD-01,,,024,24,,,,
R01-WD-01,,,025,25,,,,
R01-WD-01,,,026,26,,,,
R01-WD-01,,,027,27,,,,
R01-WD-01,,,028,28,,,,
R01-WD-01,,,029,29,,,,
R01-WD-01,,,030,30,,,,
R01-WD-01,05:37:00,05:37:00,031,31,,,,
R01-WD-01,,,032,32,,,,
R01-WD-01,,,033,33,,,,
R01-WD-01,,,034,34,,,,
R01-WD-01,,,035,35,,,,
R01-WD-01,,,036,36,,,,
R01-WD-01,,,037,37,,,,
R01-WD-01,,,038,38,,,,
R01-WD-01,,,039,39,,,,
R01-WD-01,,,040,40,,,,
R01-WD-01,,,041,41,,,,
R01-WD-01,,,042,42,,,,
R01-WD-01,05:43:00,05:43:00,043,43,,,,
R01-WD-01,,,044,44,,,,
R01-WD-01,,,045,45,,,,
R01-WD-01,,,046,46,,,,
R01-WD-01,,,047,47,,,,
R01-WD-01,,,048,48,,,,
R01-WD-01,,,049,49,,,,
R01-WD-01,,,050,50,,,,
R01-WD-01,,,051,51,,,,
R01-WD-01,,,052,52,,,,
R01-WD-01,,,053,53,,,,
R01-WD-01,,,054,54,,,,
R01-WD-01,,,055,55,,,,
R01-WD-01,05:49:00,05:49:00,056,56,,,,
R01-WD-01,,,057,57,,,,
R01-WD-01,,,058,58,,,,
R01-WD-01,,,059,59,,,,
R01-WD-01,,,060,60,,,,
R01-WD-01,,,061,61,,,,
R01-WD-01,,,062,62,,,,
R01-WD-01,,,063,63,,,,
R01-WD-01,,,064,64,,,,
R01-WD-01,,,065,65,,,,
R01-WD-01,,,066,66,,,,
R01-WD-01,,,067,67,,,,
R01-WD-01,05:54:00,05:54:00,068,68,,,,
R01-WD-01,,,069,69,,,,
R01-WD-01,,,070,70,,,,
R01-WD-01,,,071,71,,,,
R01-WD-01,,,072,72,,,,
R01-WD-01,,,073,73,,,,
R01-WD-01,,,074,74,,,,
R01-WD-01,,,075,75,,,,
R01-WD-01,,,076,76,,,,
R01-WD-01,,,077,77,,,,
R01-WD-01,,,078,78,,,,
R01-WD-01,05:59:00,05:59:00,079,79,,,,
R01-WD-01,,,080,80,,,,
R01-WD-01,,,081,81,,,,
R01-WD-01,,,082,82,,,,
R01-WD-01,,,083,83,,,,
R01-WD-01,,,084,84,,,,
R01-WD-01,,,085,85,,,,
R01-WD-01,,,086,86,,,,
R01-WD-01,,,087,87,,,,
R01-WD-01,,,088,88,,,,
R01-WD-01,,,089,89,,,,
R01-WD-01,,,090,90,,,,
R01-WD-01,,,091,91,,,,
R01-WD-01,06:10:00,06:10:00,000,92,,,,
R01-WD-02,06:15:00,06:15:00,000,0,,,,
R01-WD-02,,,001,1,,,,
R01-WD-02,,,002,2,,,,
R01-WD-02,,,003,3,,,,
R01-WD-02,,,004,4,,,,
R01-WD-02,,,005,5,,,,
R01-WD-02,,,006,6,,,,
R01-WD-02,,,007,7,,,,
R01-WD-02,,,008,8,,,,
R01-WD-02,,,009,9,,,,
R01-WD-02,06:22:00,06:22:00,010,10,,,,
R01-WD-02,,,011,11,,,,
R01-WD-02,,,012,12,,,,
R01-WD-02,,,013,13,,,,
R01-WD-02,,,014,14,,,,
R01-WD-02,,,015,15,,,,
R01-WD-02,,,016,16,,,,
R01-WD-02,,,017,17,,,,
R01-WD-02,,,018,18,,,,
R01-WD-02,,,019,19,,,,
R01-WD-02,06:28:00,06:28:00,020,20,,,,
R01-WD-02,,,021,21,,,,
R01-WD-02,,,022,22,,,,
R01-WD-02,,,023,23,,,,
R01-WD-02,,,024,24,,,,
R01-WD-02,,,025,25,,,,
R01-WD-02,,,026,26,,,,
R01-WD-02,,,027,27,,,,
R01-WD-02,,,028,28,,,,
R01-WD-02,,,029,29,,,,
R01-WD-02,,,030,30,,,,
R01-WD-02,06:32:00,06:32:00,031,31,,,,
R01-WD-02,,,032,32,,,,
R01-WD-02,,,033,33,,,,
R01-WD-02,,,034,34,,,,
R01-WD-02,,,035,35,,,,
R01-WD-02,,,036,36,,,,
R01-WD-02,,,037,37,,,,
R01-WD-02,,,038,38,,,,
R01-WD-02,,,039,39,,,,
R01-WD-02,,,040,40,,,,
R01-WD-02,,,041,41,,,,
R01-WD-02,,,042,42,,,,
R01-WD-02,06:38:00,06:38:00,043,43,,,,
R01-WD-02,,,044,44,,,,
R01-WD-02,,,045,45,,,,
R01-WD-02,,,046,46,,,,
R01-WD-02,,,047,47,,,,
R01-WD-02,,,048,48,,,,
R01-WD-02,,,049,49,,,,
R01-WD-02,,,050,50,,,,
R01-WD-02,,,051,51,,,,
R01-WD-02,,,052,52,,,,
R01-WD-02,,,053,53,,,,
R01-WD-02,,,054,54,,,,
