stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
000,,Ground Transportation Center,concrete pad,41.975420,-91.666621,,,,,,
001,,2nd Ave Bridge @ City Hall,concrete pad,41.977115,-91.669332,,,,,,
002,,2nd Ave Bridge @ Vets. Memorial,concrete pad,41.976458,-91.670628,,,,,,
003,,2nd Ave & 2nd St,corner sidewalk,41.975252,-91.673700,,,,,,
004,,2nd Ave & L St,concrete pad,41.974302,-91.676360,,,,,,
005,,2nd Ave & 7th St,corner sidewalk,41.972991,-91.680090,,,,,,
006,,2nd Ave & 9th St RR tracks,gravel to sidewalk,41.972052,-91.682732,,,,,,
007,,10th St & 1st Ave,concrete pad,41.972498,-91.684364,,,,,,
008,,10th St & B Ave,concrete pad,41.974969,-91.685519,,,,,,
009,,10th St & C Ave (Salvation Army),corner sidewalk,41.976040,-91.685525,,,,,,
010,,10th St & E Ave,corner sidewalk,41.977937,-91.685524,,,,,,
011,,E Ave & 13th St,corner sidewalk,41.978173,-91.689264,,,,,,
012,,15th St & F Ave,grass to sidewalk,41.978860,-91.691252,,,,,,
013,,F Ave & 10th St,corner sidewalk,41.978985,-91.686286,,,,,,
014,,F Ave & 8th St,corner sidewalk,41.978952,-91.683495,,,,,,
015,,Ellis Blvd & G Ave,corner sidewalk,41.980154,-91.681843,,,,,,
016,,Ellis Blvd & I Ave,corner sidewalk,41.981565,-91.681946,,,,,,
017,,Ellis Blvd & K Ave,concrete pad,41.984044,-91.681948,,,,,,
018,,Ellis Blvd & L Ave,corner sidewalk,41.985279,-91.682013,,,,,,
019,,Ellis Blvd & M Ave,corner sidewalk,41.986664,-91.682024,,,,,,
020,,Ellis Blvd & O Ave,corner sidewalk,41.988891,-91.682074,,,,,,
021,,O Ave & 9th St,grass to sidewalk,41.989098,-91.684633,,,,,,
022,,O Ave & 11th St,corner sidewalk,41.989138,-91.687179,,,,,,
023,,O Ave & 13th St (far-side),"grass, no sidewalk",41.989092,-91.689612,,,,,,
024,,O Ave & 16th St,"grass, no sidewalk",41.989118,-91.693899,,,,,,
025,,O Ave & 18th St,corner sidewalk,41.989166,-91.696657,,,,,,
026,,O Ave & 21st St,grass to sidewalk,41.989190,-91.700225,,,,,,
027,,O Ave & 23rd St,grass to sidewalk,41.989231,-91.702716,,,,,,
028,,O Ave & 26th St,grass to sidewalk,41.989250,-91.705946,,,,,,
029,,2804 O Ave,grass to sidewalk,41.989286,-91.709038,,,,,,
030,,O Ave @ Imperial Apts,corner sidewalk,41.989292,-91.710406,,,,,,
031,,O Ave & Hillside Dr,grass to sidewalk,41.989330,-91.712429,,,,,,
032,,Edgewood Rd @ Westgate Apts,grass to sidewalk,41.986115,-91.716108,,,,,,
033,,Edgewood Rd & Crestwood Dr,"grass, no sidewalk",41.983944,-91.716180,,,,,,
034,,Edgewood Rd & H Ave,"grass, no sidewalk",41.981235,-91.716115,,,,,,
035,,Edgewood Rd & Sunnydale St,corner sidewalk,41.979153,-91.716119,,,,,,
036,,390 Edgewood Rd (Burger King),grass to sidewalk,41.976699,-91.716164,,,,,,
037,,Edgewood Rd & Johnson Ave,grass to sidewalk,41.974786,-91.716132,,,,,,
038,,Edgewood Rd & Dennis Dr,grass to sidewalk,41.971497,-91.716167,,,,,,
039,,Edgewood Rd & 1st Ave,grass to sidewalk,41.967637,-91.716194,,,,,,
040,,Edgewood Rd & 16th Ave,grass to sidewalk,41.963806,-91.716317,,,,,,
041,,3750 16th Ave,grass to sidewalk,41.963846,-91.720175,,,,,,
042,,16th Ave & Wiley Blvd,concrete pad,41.963921,-91.725710,,,,,,
043,,12th Ave & Wiley Blvd (far-side) (IBEW),"grass, no sidewalk",41.965604,-91.725347,,,,,,
044,,12th Ave & Clive Dr,concrete pad,41.965571,-91.722304,,,,,,
045,,3665 12th Ave,grass to sidewalk,41.965576,-91.720240,,,,,,
046,,12th Ave & Auburn Dr (far-side),concrete pad,41.965568,-91.718055,,,,,,
047,,Edgewood Rd & 1st Ave,grass to sidewalk,41.967478,-91.715863,,,,,,
048,,Edgewood Rd & Susan Dr,grass to sidewalk,41.972071,-91.715861,,,,,,
049,,Edgewood Rd & Johnson Ave,corner sidewalk,41.974304,-91.715891,,,,,,
050,,Edgewood Rd @ Edgewood Plaza,grass to sidewalk,41.976519,-91.715819,,,,,,
051,,Edgewood Rd & E Ave,grass to sidewalk,41.978206,-91.715793,,,,,,
052,,Edgewood Rd & F Ave (Casey's),"grass, no sidewalk",41.980004,-91.715746,,,,,,
053,,Edgewood Rd & H Ave,"grass, no sidewalk",41.981368,-91.715758,,,,,,
054,,Edgewood Rd & Waveland Dr,"grass, no sidewalk",41.983096,-91.715820,,,,,,
055,,Edgewood Rd & Westwood Dr,"grass, no sidewalk",41.985955,-91.715850,,,,,,
056,,Edgewood Rd & O Ave,corner sidewalk,41.989206,-91.715297,,,,,,
057,,O Ave & Hillside Dr,grass to sidewalk,41.989145,-91.712760,,,,,,
058,,O Ave & Blanche Dr,corner sidewalk,41.989115,-91.710301,,,,,,
059,,2801 O Ave,grass to sidewalk,41.989091,-91.708950,,,,,,
060,,O Ave & 26th St,corner sidewalk,41.989056,-91.706137,,,,,,
061,,O Ave & Highwood Dr,grass to sidewalk,41.989066,-91.701998,,,,,,
062,,O Ave across from 20th St,"grass, no sidewalk",41.988993,-91.699237,,,,,,
063,,1725 O Ave  (Milestones),concrete pad,41.988913,-91.696320,,,,,,
064,,O Ave & 16th St,grass to sidewalk,41.988990,-91.693903,,,,,,
065,,O Ave across from 13th St,"grass, no sidewalk",41.989008,-91.689581,,,,,,
066,,O Ave & 11th St,"grass, no sidewalk",41.988937,-91.687202,,,,,,
067,,O Ave & 9th St,"grass, no sidewalk",41.988927,-91.684694,,,,,,
068,,O Ave & Ellis Blvd,corner sidewalk,41.988884,-91.682324,,,,,,
069,,Ellis Blvd & M Ave,corner sidewalk,41.986853,-91.682245,,,,,,
070,,Ellis Blvd & L Ave,corner sidewalk,41.985452,-91.682218,,,,,,
071,,Ellis Blvd & K Ave,corner sidewalk,41.984186,-91.682207,,,,,,
072,,Ellis Blvd & I Ave,grass to sidewalk,41.981784,-91.682170,,,,,,
073,,Ellis Blvd & G Ave,corner sidewalk,41.980161,-91.682169,,,,,,
074,,F Ave & 8th St,corner sidewalk,41.979157,-91.683271,,,,,,
075,,F Ave & 10th St,corner sidewalk,41.979208,-91.686038,,,,,,
076,,F Ave & 13th St,corner sidewalk,41.979252,-91.689236,,,,,,
077,,1500 15th St,"grass, no sidewalk",41.978672,-91.691481,,,,,,
078,,E Ave & 13th St (Roosevelt School),corner sidewalk,41.978002,-91.689511,,,,,,
079,,E Ave & 11th St  (Abbe Center),concrete pad,41.977994,-91.687116,,,,,,
080,,10th St & C Ave  (Salvation Army),concrete pad,41.976107,-91.685769,,,,,,
081,,10th St & B Ave,corner sidewalk,41.974986,-91.685799,,,,,,
082,,10th St & A Ave,corner sidewalk,41.973564,-91.685300,,,,,,
083,,903 1st Ave (Family Dollar),concrete pad,41.972729,-91.683653,,,,,,
084,,1st Ave & 6th St,corner sidewalk,41.974138,-91.679605,,,,,,
085,,1st Ave & 5th St,corner sidewalk,41.974553,-91.678315,,,,,,
086,,1st Ave & L St,corner sidewalk,41.974933,-91.677094,,,,,,
087,,1st Ave & 2nd St,corner sidewalk,41.975951,-91.674502,,,,,,
088,,1st St & 2nd Ave,corner sidewalk,41.975630,-91.672688,,,,,,
089,,1st St & 4th Ave,corner sidewalk,41.973749,-91.671463,,,,,,
090,,1st St & 6th Ave,corner sidewalk,41.971871,-91.670244,,,,,,
091,,7th Ave & 1st St,corner sidewalk,41.973175,-91.664591,,,,,,
092,,3rd Ave & RR tracks,concrete pad,41.978100,-91.664784,,,,,,
093,,3rd Ave & 6th St,corner sidewalk,41.979335,-91.662470,,,,,,
094,,3rd Ave & 8th St,concrete pad,41.980655,-91.660300,,,,,,
095,,3rd Ave & 10th St,concrete pad,41.981807,-91.658167,,,,,,
096,,3rd Ave & 12th St,corner sidewalk,41.983062,-91.656057,,,,,,
097,,3rd Ave & Bever Ave,corner sidewalk,41.984597,-91.653300,,,,,,
098,,3rd Ave & 15th St,corner sidewalk,41.986235,-91.650536,,,,,,
099,,3rd Ave & Grande Ave,grass to sidewalk,41.987971,-91.647527,,,,,,
100,,3rd Ave & 18th St,grass to sidewalk,41.989727,-91.644611,,,,,,
1000,,Trailridge Rd. & Indiandale Rd,"grass, no sidewalk",41.984231,-91.614086,,,,,,
1001,,Indiandale Rd. & Trailridge Rd,grass. no sidewalk,41.986055,-91.612219,,,,,,
1002,,Trailridge Rd. & Red Fox Rd,"grass, no sidewalk",41.986043,-91.609698,,,,,,
1003,,Trailridge Rd. & Eastland Dr. (1st intersection),corner sidewalk,41.986060,-91.607386,,,,,,
1004,,Trailridge Rd. & East Post Rd.,grass to sidewalk,41.985720,-91.604368,,,,,,
1005,,East Post Rd & High Ridge Rd,"gravel shoulder, no sidewalk",41.982033,-91.605659,,,,,,
1006,,East Post Rd & East Post Rd,"grass, no sidewalk",41.980985,-91.606870,,,,,,
1007,,East Post Rd across from Beaver Hollow,"grass, no sidewalk",41.979073,-91.606824,,,,,,
1008,,East Post Rd & Mt Vernon Rd,corner sidewalk,41.977003,-91.606133,,,,,,
1009,,1225 42nd St (Five Seasons Senior Housing),grass to sidewalk,41.974059,-91.608889,,,,,,
101,,19th St & 2nd Ave,concrete pad,41.991846,-91.643140,,,,,,
1010,,42nd St & 13th Ave,"grass, no sidewalk",41.973001,-91.608861,,,,,,
1011,,42nd St & Pioneer Ave,corner sidewalk,41.968381,-91.608867,,,,,,
