route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
R01,WD,R01-WD-01,Route 1,1,,,S01,,
R01,WD,R01-WD-02,Route 1,1,,,S01,,
R01,WD,R01-WD-03,Route 1,1,,,S01,,
R01,WD,R01-WD-04,Route 1,1,,,S01,,
R01,WD,R01-WD-05,Route 1,1,,,S01,,
R01,WD,R01-WD-06,Route 1,1,,,S01,,
R01,WD,R01-WD-07,Route 1,1,,,S01,,
R01,WD,R01-WD-08,Route 1,1,,,S01,,
R01,WD,R01-WD-09,Route 1,1,,,S01,,
R01,WD,R01-WD-10,Route 1,1,,,S01,,
R01,WD,R01-WD-11,Route 1,1,,,S01,,
R01,WD,R01-WD-12,Route 1,1,,,S01,,
R01,WD,R01-WD-13,Route 1,1,,,S01,,
R01,WD,R01-WD-14,Route 1,1,,,S01,,
R01,WE,R01-WE-01,Route 1,1,,,S01,,
R01,WE,R01-WE-02,Route 1,1,,,S01,,
R01,WE,R01-WE-03,Route 1,1,,,S01,,
R01,WE,R01-WE-04,Route 1,1,,,S01,,
R01,WE,R01-WE-05,Route 1,1,,,S01,,
R01,WE,R01-WE-06,Route 1,1,,,S01,,
R01,WE,R01-WE-07,Route 1,1,,,S01,,
R01,WE,R01-WE-08,Route 1,1,,,S01,,
R01,WE,R01-WE-09,Route 1,1,,,S01,,
R02,WD,R02-WD-01,Route 2,2,,,S02,,
R02,WD,R02-WD-02,Route 2,2,,,S02,,
R02,WD,R02-WD-03,Route 2,2,,,S02,,
R02,WD,R02-WD-04,Route 2,2,,,S02,,
R02,WD,R02-WD-05,Route 2,2,,,S02,,
R02,WD,R02-WD-06,Route 2,2,,,S02,,
R02,WD,R02-WD-07,Route 2,2,,,S02,,
R02,WD,R02-WD-08,Route 2,2,,,S02,,
R02,WD,R02-WD-09,Route 2,2,,,S02,,
R02,WD,R02-WD-10,Route 2,2,,,S02,,
R02,WD,R02-WD-11,Route 2,2,,,S02,,
R02,WD,R02-WD-12,Route 2,2,,,S02,,
R02,WD,R02-WD-13,Route 2,2,,,S02,,
R02,WD,R02-WD-14,Route 2,2,,,S02,,
R02,WE,R02-WE-01,Route 2,2,,,S02,,
R02,WE,R02-WE-02,Route 2,2,,,S02,,
R02,WE,R02-WE-03,Route 2,2,,,S02,,
R02,WE,R02-WE-04,Route 2,2,,,S02,,
R02,WE,R02-WE-05,Route 2,2,,,S02,,
R02,WE,R02-WE-06,Route 2,2,,,S02,,
R02,WE,R02-WE-07,Route 2,2,,,S02,,
R02,WE,R02-WE-08,Route 2,2,,,S02,,
R02,WE,R02-WE-09,Route 2,2,,,S02,,
R03,WD,R03-WD-01,Route 3,3,,,S03,,
R03,WD,R03-WD-02,Route 3,3,,,S03,,
R03,WD,R03-WD-03,Route 3,3,,,S03,,
R03,WD,R03-WD-04,Route 3,3,,,S03,,
R03,WD,R03-WD-05,Route 3,3,,,S03,,
R03,WD,R03-WD-06,Route 3,3,,,S03,,
R03,WD,R03-WD-07,Route 3,3,,,S03,,
R03,WD,R03-WD-08,Route 3,3,,,S03,,
R03,WD,R03-WD-09,Route 3,3,,,S03,,
R03,WD,R03-WD-10,Route 3,3,,,S03,,
R03,WD,R03-WD-11,Route 3,3,,,S03,,
R03,WD,R03-WD-12,Route 3,3,,,S03,,
R03,WD,R03-WD-13,Route 3,3,,,S03,,
R03,WD,R03-WD-14,Route 3,3,,,S03,,
R03,WD,R03-WD-15,Route 3,3,,,S03,,
R03,WD,R03-WD-16,Route 3,3,,,S03,,
R03,WD,R03-WD-17,Route 3,3,,,S03,,
R03,WD,R03-WD-18,Route 3,3,,,S03,,
R03,WD,R03-WD-19,Route 3,3,,,S03,,
R03,WE,R03-WE-01,Route 3,3,,,S03,,
R03,WE,R03-WE-02,Route 3,3,,,S03,,
R03,WE,R03-WE-03,Route 3,3,,,S03,,
R03,WE,R03-WE-04,Route 3,3,,,S03,,
